,index,UE2-CQI
0,14400,15.0
1,14401,9.0
2,14402,15.0
3,14403,11.0
4,14404,15.0
5,14405,15.0
6,14406,11.0
7,14407,15.0
8,14408,15.0
9,14409,14.0
10,14410,12.0
11,14411,15.0
12,14412,15.0
13,14413,11.0
14,14414,14.0
15,14415,15.0
16,14416,15.0
17,14417,12.0
18,14418,12.0
19,14419,13.0
20,14420,15.0
21,14421,15.0
22,14422,15.0
23,14423,14.0
24,14424,13.0
25,14425,15.0
26,14426,9.0
27,14427,12.0
28,14428,15.0
29,14429,15.0
30,14430,10.0
31,14431,8.0
32,14432,14.0
33,14433,10.0
34,14434,10.0
35,14435,15.0
36,14436,14.0
37,14437,15.0
38,14438,12.0
39,14439,15.0
40,14440,15.0
41,14441,12.0
42,14442,12.0
43,14443,15.0
44,14444,11.0
45,14445,12.0
46,14446,14.0
47,14447,15.0
48,14448,15.0
49,14449,12.0
50,14450,15.0
51,14451,12.0
52,14452,9.0
53,14453,9.0
54,14454,11.0
55,14455,8.0
56,14456,8.0
57,14457,8.0
58,14458,13.0
59,14459,6.0
60,14460,9.0
61,14461,10.0
62,14462,9.0
63,14463,10.0
64,14464,11.0
65,14465,4.0
66,14466,12.0
67,14467,8.0
68,14468,6.0
69,14469,5.0
70,14470,8.0
71,14471,11.0
72,14472,11.0
73,14473,5.0
74,14474,9.0
75,14475,13.0
76,14476,13.0
77,14477,7.0
78,14478,9.0
79,14479,9.0
80,14480,14.0
81,14481,12.0
82,14482,15.0
83,14483,15.0
84,14484,8.0
85,14485,15.0
86,14486,9.0
87,14487,9.0
88,14488,6.0
89,14489,9.0
90,14490,10.0
91,14491,8.0
92,14492,10.0
93,14493,11.0
94,14494,11.0
95,14495,9.0
96,14496,6.0
97,14497,9.0
98,14498,9.0
99,14499,6.0
100,14500,4.0
101,14501,11.0
102,14502,11.0
103,14503,12.0
104,14504,9.0
105,14505,11.0
106,14506,12.0
107,14507,9.0
108,14508,11.0
109,14509,14.0
110,14510,9.0
111,14511,8.0
112,14512,10.0
113,14513,13.0
114,14514,4.0
115,14515,10.0
116,14516,15.0
117,14517,9.0
118,14518,12.0
119,14519,3.0
120,14520,7.0
121,14521,14.0
122,14522,5.0
123,14523,7.0
124,14524,8.0
125,14525,12.0
126,14526,11.0
127,14527,9.0
128,14528,11.0
129,14529,13.0
130,14530,13.0
131,14531,13.0
132,14532,11.0
133,14533,15.0
134,14534,8.0
135,14535,7.0
136,14536,13.0
137,14537,13.0
138,14538,14.0
139,14539,15.0
140,14540,14.0
141,14541,13.0
142,14542,11.0
143,14543,15.0
144,14544,10.0
145,14545,6.0
146,14546,11.0
147,14547,15.0
148,14548,15.0
149,14549,14.0
150,14550,15.0
151,14551,10.0
152,14552,15.0
153,14553,15.0
154,14554,14.0
155,14555,14.0
156,14556,14.0
157,14557,15.0
158,14558,14.0
159,14559,15.0
160,14560,15.0
161,14561,11.0
162,14562,15.0
163,14563,13.0
164,14564,15.0
165,14565,15.0
166,14566,13.0
167,14567,15.0
168,14568,13.0
169,14569,15.0
170,14570,14.0
171,14571,14.0
172,14572,15.0
173,14573,15.0
174,14574,15.0
175,14575,15.0
176,14576,14.0
177,14577,15.0
178,14578,12.0
179,14579,15.0
180,14580,12.0
181,14581,14.0
182,14582,14.0
183,14583,15.0
184,14584,12.0
185,14585,11.0
186,14586,15.0
187,14587,15.0
188,14588,12.0
189,14589,15.0
190,14590,13.0
191,14591,13.0
192,14592,13.0
193,14593,11.0
194,14594,12.0
195,14595,6.0
196,14596,11.0
197,14597,15.0
198,14598,15.0
199,14599,15.0
200,14600,15.0
201,14601,13.0
202,14602,15.0
203,14603,15.0
204,14604,8.0
205,14605,12.0
206,14606,12.0
207,14607,11.0
208,14608,10.0
209,14609,15.0
210,14610,13.0
211,14611,7.0
212,14612,13.0
213,14613,13.0
214,14614,10.0
215,14615,8.0
216,14616,10.0
217,14617,15.0
218,14618,8.0
219,14619,14.0
220,14620,13.0
221,14621,12.0
222,14622,4.0
223,14623,12.0
224,14624,9.0
225,14625,10.0
226,14626,11.0
227,14627,11.0
228,14628,6.0
229,14629,11.0
230,14630,10.0
231,14631,8.0
232,14632,10.0
233,14633,13.0
234,14634,9.0
235,14635,9.0
236,14636,12.0
237,14637,9.0
238,14638,10.0
239,14639,11.0
240,14640,7.0
241,14641,8.0
242,14642,14.0
243,14643,10.0
244,14644,13.0
245,14645,14.0
246,14646,5.0
247,14647,15.0
248,14648,12.0
249,14649,10.0
250,14650,11.0
251,14651,7.0
252,14652,7.0
253,14653,8.0
254,14654,8.0
255,14655,10.0
256,14656,8.0
257,14657,9.0
258,14658,13.0
259,14659,8.0
260,14660,15.0
261,14661,8.0
262,14662,14.0
263,14663,11.0
264,14664,10.0
265,14665,10.0
266,14666,15.0
267,14667,9.0
268,14668,11.0
269,14669,15.0
270,14670,5.0
271,14671,12.0
272,14672,10.0
273,14673,9.0
274,14674,9.0
275,14675,5.0
276,14676,6.0
277,14677,11.0
278,14678,14.0
279,14679,13.0
280,14680,14.0
281,14681,9.0
282,14682,5.0
283,14683,14.0
284,14684,7.0
285,14685,15.0
286,14686,9.0
287,14687,9.0
288,14688,10.0
289,14689,1.0
290,14690,8.0
291,14691,12.0
292,14692,11.0
293,14693,9.0
294,14694,13.0
295,14695,10.0
296,14696,12.0
297,14697,5.0
298,14698,11.0
299,14699,8.0
300,14700,12.0
301,14701,14.0
302,14702,13.0
303,14703,9.0
304,14704,10.0
305,14705,8.0
306,14706,8.0
307,14707,9.0
308,14708,14.0
309,14709,14.0
310,14710,15.0
311,14711,15.0
312,14712,15.0
313,14713,15.0
314,14714,15.0
315,14715,15.0
316,14716,15.0
317,14717,13.0
318,14718,15.0
319,14719,12.0
320,14720,15.0
321,14721,13.0
322,14722,14.0
323,14723,15.0
324,14724,15.0
325,14725,14.0
326,14726,15.0
327,14727,15.0
328,14728,15.0
329,14729,14.0
330,14730,15.0
331,14731,15.0
332,14732,8.0
333,14733,15.0
334,14734,15.0
335,14735,15.0
336,14736,15.0
337,14737,15.0
338,14738,15.0
339,14739,15.0
340,14740,15.0
341,14741,15.0
342,14742,15.0
343,14743,15.0
344,14744,15.0
345,14745,11.0
346,14746,12.0
347,14747,15.0
348,14748,13.0
349,14749,15.0
350,14750,15.0
351,14751,14.0
352,14752,15.0
353,14753,13.0
354,14754,9.0
355,14755,6.0
356,14756,12.0
357,14757,9.0
358,14758,13.0
359,14759,13.0
360,14760,11.0
361,14761,12.0
362,14762,10.0
363,14763,15.0
364,14764,14.0
365,14765,15.0
366,14766,11.0
367,14767,15.0
368,14768,14.0
369,14769,10.0
370,14770,15.0
371,14771,15.0
372,14772,12.0
373,14773,13.0
374,14774,13.0
375,14775,6.0
376,14776,9.0
377,14777,10.0
378,14778,9.0
379,14779,7.0
380,14780,10.0
381,14781,8.0
382,14782,12.0
383,14783,12.0
384,14784,15.0
385,14785,13.0
386,14786,13.0
387,14787,8.0
388,14788,7.0
389,14789,12.0
390,14790,11.0
391,14791,12.0
392,14792,11.0
393,14793,7.0
394,14794,7.0
395,14795,12.0
396,14796,13.0
397,14797,11.0
398,14798,15.0
399,14799,8.0
400,14800,10.0
401,14801,6.0
402,14802,7.0
403,14803,10.0
404,14804,11.0
405,14805,12.0
406,14806,15.0
407,14807,15.0
408,14808,8.0
409,14809,15.0
410,14810,8.0
411,14811,10.0
412,14812,7.0
413,14813,10.0
414,14814,10.0
415,14815,14.0
416,14816,14.0
417,14817,11.0
418,14818,13.0
419,14819,5.0
420,14820,15.0
421,14821,8.0
422,14822,15.0
423,14823,10.0
424,14824,11.0
425,14825,5.0
426,14826,10.0
427,14827,11.0
428,14828,8.0
429,14829,10.0
430,14830,12.0
431,14831,14.0
432,14832,9.0
433,14833,9.0
434,14834,12.0
435,14835,9.0
436,14836,7.0
437,14837,10.0
438,14838,9.0
439,14839,8.0
440,14840,7.0
441,14841,12.0
442,14842,10.0
443,14843,8.0
444,14844,6.0
