,index,UE3-CQI
0,43200,14.0
1,43201,10.0
2,43202,15.0
3,43203,15.0
4,43204,13.0
5,43205,15.0
6,43206,15.0
7,43207,14.0
8,43208,11.0
9,43209,11.0
10,43210,13.0
11,43211,15.0
12,43212,15.0
13,43213,13.0
14,43214,11.0
15,43215,15.0
16,43216,15.0
17,43217,15.0
18,43218,12.0
19,43219,15.0
20,43220,15.0
21,43221,14.0
22,43222,6.0
23,43223,7.0
24,43224,5.0
25,43225,11.0
26,43226,7.0
27,43227,10.0
28,43228,9.0
29,43229,9.0
30,43230,12.0
31,43231,14.0
32,43232,11.0
33,43233,3.0
34,43234,15.0
35,43235,14.0
36,43236,4.0
37,43237,11.0
38,43238,14.0
39,43239,15.0
40,43240,6.0
41,43241,13.0
42,43242,15.0
43,43243,14.0
44,43244,13.0
45,43245,14.0
46,43246,15.0
47,43247,15.0
48,43248,11.0
49,43249,10.0
50,43250,14.0
51,43251,7.0
52,43252,9.0
53,43253,13.0
54,43254,15.0
55,43255,13.0
56,43256,8.0
57,43257,11.0
58,43258,14.0
59,43259,14.0
60,43260,14.0
61,43261,15.0
62,43262,15.0
63,43263,13.0
64,43264,14.0
65,43265,11.0
66,43266,15.0
67,43267,15.0
68,43268,15.0
69,43269,12.0
70,43270,15.0
71,43271,13.0
72,43272,15.0
73,43273,15.0
74,43274,13.0
75,43275,15.0
76,43276,14.0
77,43277,15.0
78,43278,15.0
79,43279,15.0
80,43280,15.0
81,43281,14.0
82,43282,15.0
83,43283,14.0
84,43284,14.0
85,43285,15.0
86,43286,15.0
87,43287,15.0
88,43288,15.0
89,43289,15.0
90,43290,15.0
91,43291,14.0
92,43292,12.0
93,43293,15.0
94,43294,15.0
95,43295,15.0
96,43296,12.0
97,43297,11.0
98,43298,15.0
99,43299,15.0
100,43300,15.0
101,43301,15.0
102,43302,14.0
103,43303,15.0
104,43304,15.0
105,43305,14.0
106,43306,15.0
107,43307,13.0
108,43308,15.0
109,43309,15.0
110,43310,6.0
111,43311,15.0
112,43312,13.0
113,43313,15.0
114,43314,15.0
115,43315,7.0
116,43316,15.0
117,43317,14.0
118,43318,12.0
119,43319,13.0
120,43320,15.0
121,43321,13.0
122,43322,14.0
123,43323,15.0
124,43324,15.0
125,43325,13.0
126,43326,13.0
127,43327,15.0
128,43328,15.0
129,43329,15.0
130,43330,11.0
131,43331,11.0
132,43332,15.0
133,43333,15.0
134,43334,15.0
135,43335,15.0
136,43336,14.0
137,43337,9.0
138,43338,13.0
139,43339,13.0
140,43340,15.0
141,43341,10.0
142,43342,15.0
143,43343,15.0
144,43344,15.0
145,43345,14.0
146,43346,15.0
147,43347,14.0
148,43348,12.0
149,43349,14.0
150,43350,9.0
151,43351,11.0
152,43352,15.0
153,43353,12.0
154,43354,14.0
155,43355,14.0
156,43356,15.0
157,43357,13.0
158,43358,11.0
159,43359,12.0
160,43360,12.0
161,43361,14.0
162,43362,14.0
163,43363,14.0
164,43364,14.0
165,43365,15.0
166,43366,15.0
167,43367,15.0
168,43368,13.0
169,43369,15.0
170,43370,15.0
171,43371,15.0
172,43372,11.0
173,43373,15.0
174,43374,15.0
175,43375,11.0
176,43376,15.0
177,43377,12.0
178,43378,15.0
179,43379,15.0
180,43380,15.0
181,43381,15.0
182,43382,15.0
183,43383,14.0
184,43384,7.0
185,43385,10.0
186,43386,9.0
187,43387,8.0
188,43388,11.0
189,43389,11.0
190,43390,6.0
191,43391,12.0
192,43392,10.0
193,43393,8.0
194,43394,6.0
195,43395,8.0
196,43396,12.0
197,43397,11.0
198,43398,15.0
199,43399,10.0
200,43400,11.0
201,43401,14.0
202,43402,13.0
203,43403,12.0
204,43404,15.0
205,43405,12.0
206,43406,13.0
207,43407,11.0
208,43408,8.0
209,43409,12.0
210,43410,15.0
211,43411,10.0
212,43412,7.0
